ID,YCategoryName,階層
33045,オフィスデスク,家具、インテリア > オフィス家具 > オフィスデスク
33049,デスク、チェアセット,家具、インテリア > オフィス家具 > デスク、チェアセット
33058,応接用テーブル,家具、インテリア > オフィス家具 > 受付、応接家具 > 応接用テーブル
33059,応接セット,家具、インテリア > オフィス家具 > 受付、応接家具 > 応接セット
33060,ロビーチェア,家具、インテリア > オフィス家具 > オフィスチェア > ロビーチェア
33060,ロビーチェア,家具、インテリア > オフィス家具 > 受付、応接家具 > ロビーチェア
41007,こたつ部品、アクセサリー,家具、インテリア > こたつ > こたつ部品、アクセサリー
43970,収納ケース,家具、インテリア > チェスト、衣類収納 > 収納ケース
43970,収納ケース,家具、インテリア > プラケース、押入れ収納 > 収納ケース
43971,壁面システム収納,家具、インテリア > ラック、シェルフ、本棚 > 壁面システム収納
43972,ガラスケース,家具、インテリア > テレビ台、キャビネット > ガラスケース
43973,玄関台、玄関踏み台,家具、インテリア > 玄関家具 > 玄関台、玄関踏み台
43974,玄関ベンチ,家具、インテリア > 玄関家具 > 玄関ベンチ
43978,ダイニングテーブルセット,家具、インテリア > テーブル > ダイニングテーブル > ダイニングテーブルセット
43979,椅子付属品、パーツ,家具、インテリア > 椅子、スツール、座椅子 > 椅子付属品、パーツ
43980,ラック用付属品、パーツ,家具、インテリア > ラック、シェルフ、本棚 > ラック用付属品、パーツ
43982,フリーデスク、平机,家具、インテリア > デスク、机 > フリーデスク、平机
43983,学習机用ワゴン、ラック,家具、インテリア > 子供部屋家具 > 学習机 > 学習机用ワゴン、ラック
43984,子供用学習机付属品、パーツ,家具、インテリア > 子供部屋家具 > 学習机 > 子供用学習机付属品、パーツ
43985,デスク、机用付属品、パーツ,家具、インテリア > デスク、机 > デスク、机用付属品、パーツ
43986,ソファベッド,家具、インテリア > ソファ、ソファベッド > ソファベッド
43987,シェーズロング、寝椅子,家具、インテリア > ソファ、ソファベッド > シェーズロング、寝椅子
43987,シェーズロング、寝椅子,家具、インテリア > 椅子、スツール、座椅子 > シェーズロング、寝椅子
43988,ソファ付属品、パーツ,家具、インテリア > ソファ、ソファベッド > ソファ付属品、パーツ
43989,子供用ポールハンガー,家具、インテリア > 子供部屋家具 > ポールハンガー
43991,折りたたみベッド,家具、インテリア > ベッド、マットレス > ベッド > 折りたたみベッド
43992,フレーム、マットレスセット,家具、インテリア > ベッド、マットレス > ベッド > フレーム、マットレスセット
43994,ガーゼケット,家具、インテリア > 布団、寝具 > タオルケット > ガーゼケット
43995,ノンスプリングマットレス,家具、インテリア > ベッド、マットレス > マットレス > ノンスプリングマットレス
43995,ノンスプリングマットレス,家具、インテリア > 布団、寝具 > ノンスプリングマットレス
43997,衿カバー,家具、インテリア > 布団、寝具 > シーツ、カバー > 衿カバー
43998,除湿シート,家具、インテリア > 布団、寝具 > シーツ、カバー > 除湿シート
43999,子供用シーツ、敷きパッド、カバー,家具、インテリア > 子供部屋家具 > 寝具、布団 > シーツ、敷きパッド、カバー
43999,子供用シーツ、敷きパッド、カバー,家具、インテリア > 布団、寝具 > 子供用寝具、布団 > シーツ、敷きパッド、カバー
44000,子供用毛布、ブランケット,家具、インテリア > 子供部屋家具 > 寝具、布団 > 毛布、ブランケット
44000,子供用毛布、ブランケット,家具、インテリア > 布団、寝具 > 子供用寝具、布団 > 毛布、ブランケット
44001,子供用敷き布団,家具、インテリア > 子供部屋家具 > 寝具、布団 > 敷き布団
33060,オフィス用ロビーチェア,家具、インテリア > ソファ、ソファベッド > オフィス用ロビーチェア
33061,受付カウンター,家具、インテリア > オフィス家具 > 受付、応接家具 > 受付カウンター
33067,オープンラック、物品棚,家具、インテリア > オフィス家具 > オフィス収納 > オープンラック、物品棚
33069,キャビネット、書庫,家具、インテリア > オフィス家具 > オフィス収納 > キャビネット、書庫
33070,保管庫,家具、インテリア > オフィス家具 > オフィス収納 > 保管庫
33071,オフィス用机上ラック,家具、インテリア > オフィス家具 > デスク用アクセサリー > 机上ラック
33072,ショーケース,家具、インテリア > オフィス家具 > オフィス収納 > ショーケース
33073,ファイルワゴン,家具、インテリア > オフィス家具 > オフィスワゴン、脇机 > ファイルワゴン
33074,雑誌、新聞ラック,家具、インテリア > オフィス家具 > オフィス収納 > 雑誌、新聞ラック
33077,掃除用ロッカー,家具、インテリア > オフィス家具 > オフィス収納 > 掃除用ロッカー
33078,シューズロッカー、下駄箱,家具、インテリア > オフィス家具 > オフィス収納 > シューズロッカー、下駄箱
33079,キーボックス,家具、インテリア > オフィス家具 > 金庫、キーボックス > キーボックス
33118,ピアノカバー,家具、インテリア > ファブリック、カバー類 > ピアノカバー
33121,その他ファブリック、カバー類,家具、インテリア > ファブリック、カバー類 > その他ファブリック、カバー類
33152,すだれ,家具、インテリア > カーテン、ブラインド > すだれ
33154,ウォールステッカー,家具、インテリア > ウォールデコレーション > ウォールステッカー
33210,砂時計,家具、インテリア > インテリア時計 > 砂時計
33229,卓上ミラー,家具、インテリア > ミラー、ドレッサー > 卓上ミラー
39261,介護ベッド,家具、インテリア > ベッド、マットレス > ベッド > 介護ベッド
40536,屋外用ドアマット,家具、インテリア > カーペット、ラグ、マット > マット > 屋外用ドアマット
40538,ウッドカーペット,家具、インテリア > カーペット、ラグ、マット > ウッドカーペット
40540,掘りごたつ用カーペット,家具、インテリア > こたつ > こたつ布団 > 掘りごたつ用カーペット
40540,掘りごたつ用カーペット,家具、インテリア > カーペット、ラグ、マット > 掘りごたつ用カーペット
40541,敷きもの補助用品,家具、インテリア > カーペット、ラグ、マット > 敷きもの補助用品
